Date,Open,High,Low,Close,Adj Close,Volume
25/11/2016,111.129997,111.870003,110.949997,111.790001,110.416275,11475900
28/11/2016,111.43,112.470001,111.389999,111.57,110.198975,27194000
29/11/2016,110.779999,112.029999,110.07,111.459999,110.090332,28528800
30/11/2016,111.599998,112.199997,110.269997,110.519997,109.16188,36162300
1/12/2016,110.370003,110.940002,109.029999,109.489998,108.144531,37086900
2/12/2016,109.169998,110.089996,108.849998,109.900002,108.5495,26528000
5/12/2016,110,110.029999,108.25,109.110001,107.769203,34324500
6/12/2016,109.5,110.360001,109.190002,109.949997,108.598877,26195500
7/12/2016,109.260002,111.190002,109.160004,111.029999,109.665604,29998700
8/12/2016,110.860001,112.43,110.599998,112.120003,110.742218,27068300
9/12/2016,112.309998,114.699997,112.309998,113.949997,112.549728,34402600
12/12/2016,113.290001,115,112.489998,113.300003,111.907722,26374400
13/12/2016,113.839996,115.919998,113.75,115.190002,113.77449,43733800
14/12/2016,115.040001,116.199997,114.980003,115.190002,113.77449,34031800
15/12/2016,115.379997,116.730003,115.230003,115.82,114.396751,46524500
16/12/2016,116.470001,116.5,115.650002,115.970001,114.544907,44351100
19/12/2016,115.800003,117.379997,115.75,116.639999,115.206673,27779400
20/12/2016,116.739998,117.5,116.68,116.949997,115.512863,21425000
21/12/2016,116.800003,117.400002,116.779999,117.059998,115.621513,23783200
22/12/2016,116.349998,116.510002,115.639999,116.290001,114.860977,26085900
23/12/2016,115.589996,116.519997,115.589996,116.519997,115.088142,14181200
27/12/2016,116.519997,117.800003,116.489998,117.260002,115.819054,18296900
28/12/2016,117.519997,118.019997,116.199997,116.760002,115.325203,20905900
29/12/2016,116.449997,117.110001,116.400002,116.730003,115.29557,15039500
30/12/2016,116.650002,117.199997,115.43,115.82,114.396751,30586300
3/1/2017,115.800003,116.330002,114.760002,116.150002,114.722694,28781900
4/1/2017,115.849998,116.510002,115.75,116.019997,114.594292,21118100
5/1/2017,115.919998,116.860001,115.809998,116.610001,115.17704,22193600
6/1/2017,116.779999,118.160004,116.470001,117.910004,116.461075,31751900
9/1/2017,117.949997,119.43,117.940002,118.989998,117.527794,33561900
10/1/2017,118.769997,119.379997,118.300003,119.110001,117.646317,24462100
11/1/2017,118.739998,119.93,118.599998,119.75,118.278458,27588600
12/1/2017,118.900002,119.300003,118.209999,119.25,117.784599,27086200
13/1/2017,119.110001,119.620003,118.809998,119.040001,117.577179,26111900
17/1/2017,118.339996,120.239998,118.220001,120,118.525383,34439800
18/1/2017,120,120.5,119.709999,119.989998,118.515503,23713000
19/1/2017,119.400002,120.089996,119.370003,119.779999,118.308083,25597300
20/1/2017,120.449997,120.449997,119.730003,120,118.525383,32597900
23/1/2017,120,120.809998,119.769997,120.080002,118.604401,22050200
24/1/2017,119.550003,120.099998,119.5,119.970001,118.495758,23211000
25/1/2017,120.419998,122.099998,120.279999,121.879997,120.382278,32377600
26/1/2017,121.669998,122.440002,121.599998,121.940002,120.441551,26337600
27/1/2017,122.139999,122.349998,121.599998,121.949997,120.451416,20562900
30/1/2017,120.93,121.629997,120.660004,121.629997,120.135345,30377500
31/1/2017,121.150002,121.389999,120.620003,121.349998,119.858795,49201000
1/2/2017,127.029999,130.490005,127.010002,128.75,127.167854,111985000
2/2/2017,127.980003,129.389999,127.779999,128.529999,126.950554,33710400
3/2/2017,128.309998,129.190002,128.160004,129.080002,127.493805,24507300
6/2/2017,129.130005,130.5,128.899994,130.289993,128.688934,26845900
7/2/2017,130.539993,132.089996,130.449997,131.529999,129.913696,38183800
8/2/2017,131.350006,132.220001,131.220001,132.039993,130.417435,23004100
9/2/2017,131.649994,132.449997,131.119995,132.419998,131.359818,28349900
10/2/2017,132.460007,132.940002,132.050003,132.119995,131.062225,20065500
13/2/2017,133.080002,133.820007,132.75,133.289993,132.222839,23035400
14/2/2017,133.470001,135.089996,133.25,135.020004,133.939011,33226200
15/2/2017,135.520004,136.270004,134.619995,135.509995,134.425079,35623100
16/2/2017,135.669998,135.899994,134.839996,135.350006,134.266357,22584600
17/2/2017,135.100006,135.830002,135.100006,135.720001,134.633408,22198200
21/2/2017,136.229996,136.75,135.979996,136.699997,135.60556,24507200
22/2/2017,136.429993,137.119995,136.110001,137.110001,136.012268,20836900
23/2/2017,137.380005,137.479996,136.300003,136.529999,135.43692,20788200
24/2/2017,135.910004,136.660004,135.279999,136.660004,135.565887,21776600
27/2/2017,137.139999,137.440002,136.279999,136.929993,135.83371,20257400
28/2/2017,137.080002,137.440002,136.699997,136.990005,135.89325,23482900
1/3/2017,137.889999,140.149994,137.600006,139.789993,138.670807,36414600
2/3/2017,140,140.279999,138.759995,138.960007,137.847473,26211000
3/3/2017,138.779999,139.830002,138.589996,139.779999,138.660889,21108100
6/3/2017,139.369995,139.770004,138.600006,139.339996,138.224426,21750000
7/3/2017,139.059998,139.979996,138.789993,139.520004,138.402985,17446300
8/3/2017,138.949997,139.800003,138.820007,139,137.887146,18707200
9/3/2017,138.740005,138.789993,137.050003,138.679993,137.569687,22155900
10/3/2017,139.25,139.360001,138.639999,139.139999,138.026016,19612800
13/3/2017,138.850006,139.429993,138.820007,139.199997,138.085541,17421700
14/3/2017,139.300003,139.649994,138.839996,138.990005,137.877228,15309100
15/3/2017,139.410004,140.75,139.029999,140.460007,139.335464,25691800
16/3/2017,140.720001,141.020004,140.259995,140.690002,139.563614,19232000
17/3/2017,141,141,139.889999,139.990005,138.869217,43885000
20/3/2017,140.399994,141.5,140.229996,141.460007,140.327454,21542000
21/3/2017,142.110001,142.800003,139.729996,139.839996,138.720413,39529900
22/3/2017,139.850006,141.600006,139.759995,141.419998,140.287766,25860200
23/3/2017,141.259995,141.580002,140.610001,140.919998,139.791763,20346300
24/3/2017,141.5,141.740005,140.350006,140.639999,139.514008,22395600
27/3/2017,139.389999,141.220001,138.619995,140.880005,139.752106,23575100
28/3/2017,140.910004,144.039993,140.619995,143.800003,142.648712,33374800
29/3/2017,143.679993,144.490005,143.190002,144.119995,142.966141,29190000
30/3/2017,144.190002,144.5,143.5,143.929993,142.777664,21207300
31/3/2017,143.720001,144.270004,143.009995,143.660004,142.509842,19661700
3/4/2017,143.710007,144.119995,143.050003,143.699997,142.549515,19985700
4/4/2017,143.25,144.889999,143.169998,144.770004,143.610962,19891400
5/4/2017,144.220001,145.460007,143.809998,144.020004,142.866959,27717900
6/4/2017,144.289993,144.520004,143.449997,143.660004,142.509842,21149000
7/4/2017,143.729996,144.179993,143.270004,143.339996,142.192398,16672200
10/4/2017,143.600006,143.880005,142.899994,143.169998,142.023758,18933400
11/4/2017,142.940002,143.350006,140.059998,141.630005,140.496094,30379400
12/4/2017,141.600006,142.149994,141.009995,141.800003,140.664734,20350000
13/4/2017,141.910004,142.380005,141.050003,141.050003,139.920731,17822900
17/4/2017,141.479996,141.880005,140.869995,141.830002,140.694489,16582100
18/4/2017,141.410004,142.039993,141.110001,141.199997,140.069519,14697500
19/4/2017,141.880005,142,140.449997,140.679993,139.553696,17328400
20/4/2017,141.220001,142.919998,141.160004,142.440002,141.299591,23319600
21/4/2017,142.440002,142.679993,141.850006,142.270004,141.130966,17320900
24/4/2017,143.5,143.949997,143.179993,143.639999,142.48999,17134300
25/4/2017,143.910004,144.899994,143.869995,144.529999,143.372864,18871500
26/4/2017,144.470001,144.600006,143.380005,143.679993,142.529663,20041200
27/4/2017,143.919998,144.160004,143.309998,143.789993,142.638794,14246300
28/4/2017,144.089996,144.300003,143.270004,143.649994,142.499893,20860400
